acl_key,year,c3_hit,title
hao-kong-2025-enhancing,2025,yes,Enhancing Emotional Support Conversations: A Framework for Dynamic Knowledge Filtering and Persona Extraction
hama-etal-2025-rapsil,2025,yes,{R}a{PSIL}: A {P}reference{-}{G}uided Interview Agent for {R}apport{-}{A}ware {S}elf{-}{D}isclosure
gupta-etal-2025-found,2025,yes,Found in Translation: Measuring Multilingual {LLM} Consistency as Simple as Translate then Evaluate
guo-etal-2025-comparative,2025,yes,A Comparative Study of Human-operated and {AI}-driven Guidance with a Teleoperated Mobile Robot
gunal-etal-2025-examining,2025,yes,Examining {S}panish Counseling with {MIDAS}: a Motivational Interviewing Dataset in {S}panish
gollapalli-ng-2025-pirsuader,2025,yes,{PIR}suader: A Persuasive Chatbot for Mitigating Psychological Insulin Resistance in Type-2 Diabetic Patients
goel-etal-2025-socratic,2025,yes,Socratic Reasoning Improves Positive Text Rewriting
ghosh-etal-2025-just,2025,yes,Just a Scratch: Enhancing {LLM} Capabilities for Self-harm Detection through Intent Differentiation and Emoji Interpretation
gao-etal-2025-graph,2025,yes,Graph Counselor: Adaptive Graph Exploration via Multi-Agent Synergy to Enhance {LLM} Reasoning
fu-etal-2025-minority,2025,yes,Minority-Aware Satisfaction Estimation in Dialogue Systems via Preference-Adaptive Reinforcement Learning
fu-etal-2025-look,2025,yes,Look Beyond Feeling: Unveiling Latent Needs from Implicit Expressions for Proactive Emotional Support
feng-etal-2025-reframe,2025,yes,Reframe Your Life Story: Interactive Narrative Therapist and Innovative Moment Assessment with Large Language Models
elyazori-etal-2025-capturing,2025,yes,Capturing Patients' Lived Experiences with Chronic Pain through Motivational Interviewing and Information Extraction
duan-etal-2025-guidellm,2025,yes,{G}uide{LLM}: Exploring {LLM}-Guided Conversation with Applications in Autobiography Interviewing
diekmann-etal-2025-llms,2025,yes,{LLM}s as Medical Safety Judges: Evaluating Alignment with Human Annotation in Patient-Facing {QA}
deshpande-etal-2025-evaluating,2025,yes,Evaluating Large Language Models for Enhancing Live Chat Therapy: A Comparative Study with Psychotherapists
de-grandi-etal-2025-emotional,2025,yes,The Emotional Spectrum of {LLM}s: Leveraging Empathy and Emotion-Based Markers for Mental Health Support
dan-etal-2025-p,2025,yes,{P}-React: Synthesizing Topic-Adaptive Reactions of Personality Traits via Mixture of Specialized {L}o{RA} Experts
chockkalingam-etal-2025-go,2025,yes,Should {I} go vegan: Evaluating the Persuasiveness of {LLM}s in Persona-Grounded Dialogues
chen-etal-2025-mind,2025,yes,{MIND}: Towards Immersive Psychological Healing with Multi-Agent Inner Dialogue
chen-etal-2025-empathy,2025,no,Empathy Prediction from Diverse Perspectives
chen-etal-2025-comif,2025,yes,{C}o{MIF}: Modeling of Complex Multiple Interaction Factors for Conversation Generation
chen-etal-2025-catch,2025,yes,{CATCH}: A Novel Data Synthesis Framework for High Therapy Fidelity and Memory-Driven Planning Chain of Thought in {AI} Counseling
chedalla-etal-2025-turn,2025,yes,Turn-by-Turn Behavior Monitoring in {LM}-Guided Psychotherapy
